Code,Code+B1,Definition,Keywords,Notes
FN-1300,Crime Investigation,"Law enforcement programs that prevent crimes that have been planned when tip information makes this possible; intervene to stop crimes that are in progress; and examine the circumstances surrounding an alleged crime or other infraction of the law and determine whether a crime was committed, the nature of the crime, the identity of the victim, the means employed, the time and location of its occurrence, the identity of the offender, the validity of any allegations, the conclusiveness of the evidence and the appropriate course of action.",POLICE SERVICES,
FN-1500.1550,Community Crime Prevention Programs,"Programs that involve the business, religious or residential community in planning, funding or implementing a crime prevention program, often in cooperation with the local criminal justice system.",EDUCATION (public awareness) * crime,
,,,INFORMATION AND REFERRAL * crime,
FN-1500.1900,Family Violence Prevention,"Programs that attempt to reduce the incidence of child abuse, elder abuse and spouse abuse in family settings through a variety of educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large.",ADVOCACY * family violence * Victims,
,,,EDUCATION (public awareness) * family violence,
,,,INFORMATION AND REFERRAL * family violence,
FN-1500.9700,Youth Violence Prevention,"Programs that attempt to reduce the incidence of violent acts committed by youth on the streets, in the schools or in other settings through a variety of educational interventions which may focus on children of various ages, parents, people who work with families, the schools, health care providers, law enforcement officials and/or the community at large. The program may provide information about model/promising prevention and intervention programs and crisis response strategies; descriptions of the risk factors associated with youth violence; research including statistics on violence committed by and against children and teens; outreach; and/or presentations that may be tailored for a variety of audiences.",EDUCATION (public awareness) * bullying,
,,,EDUCATION (public awareness) * crime * Youth,
,,,EDUCATION (public awareness) * violence * Youth,
FN-1700,Crime Reporting,"Programs that encourage the public to provide information, often anonymously, which might lead to the arrest, prosecution and conviction of people who have committed crimes. Included are special ""tip"" lines and crime reporting hotlines that have been established by law enforcement organizations, employers or community resources, but not law enforcement offices which take crime reports as a part of their everyday activities unless they have a special number for a particular type of report.",ADVOCACY * complaints * crime,
FN-1900,Crime Victim Support,"Programs whose objective is to help victims of crimes and their families recover from the trauma of their experience, get medical assistance when required, make their way through the legal system, have an opportunity to provide input to parole or clemency hearings, take appropriate steps, where relevant, to avoid becoming re-victimized, access the benefits to which they are entitled and rebuild their lives.",VICTIM SERVICES (community-based),
,,,VICTIM SERVICES (court-based),
,,,VICTIM SERVICES (police-based),
FN-2300,Gang Programs,"Programs offered by community and law enforcement agencies that attempt to reduce the incidence of gang violence by providing counselling, recreational activities and other preventive alternatives; and/or by establishing direct contact with gang members, mediating intergang disputes, facilitating intergang communication and mobilizing the community to support gangs in finding nonviolent ways to reconcile their differences.",EDUCATION (public awareness) * gangs * Youth,
,,,INFORMATION AND REFERRAL * gangs * Children,
,,,INFORMATION AND REFERRAL * gangs * Youth,
,,,INTERVENTION * gangs * Children,
,,,INTERVENTION * gangs * Youth,
,,,MENTORING * gangs * Youth,
,,,POLICE SERVICES * gangs * Youth,
FN-5000,Missing Persons Location Assistance,"Programs that handle reports of people who have disappeared, assist people who need to locate an individual who has been reported as missing or with whom contact has been lost and/or help relatives establish that a missing individual has, in fact, died. Also included are programs that take and/or follow up on reports of sightings of people reported as missing.",SEARCH/RESCUE * Missing Persons,
FP-0700.5000,Mediation,Programs that provide a neutral third person who is acceptable to all parties to a dispute who facilitates discussion between the parties and aids them in making their own settlement decisions.,MEDIATION,
FR-4700,Legal Issues Education/Information,"Legal aid programs, bar associations and other organizations that provide basic information about family law, landlord/tenant law, immigration law, consumer law, elder law, patient rights, the rights of persons with disabilities, the criminal justice system, the civil court system and other legal topics via workshops, classes, speaking engagements, printed materials, websites and other similar educational avenues.",EDUCATION (public awareness) * courts,
,,,EDUCATION (public awareness) * justice system,
,,,EDUCATION (public awareness) * legal issues,
,,,EDUCATION (public awareness) * privacy * rights,
,,,EDUCATION (public awareness) * rights,
FT-1000.6600,Protection and Advocacy for Individuals With Disabilities,"Programs that provide assistance for individuals with disabilities who are having difficulty understanding and/or obtaining the full benefits and services to which they are entitled by law. Protection and advocacy programs provide legal representation and other advocacy services for all people with disabilities and endeavour to ensure full access to inclusive educational programs, financial entitlements, health care, accessible housing, transportation and productive employment opportunities. The programs maintain a presence in facilities that care for people with disabilities where they monitor, investigate and attempt to remedy adverse conditions.",ADVOCACY * disability,
,,,ADVOCACY * disability (intellectual),
,,,ADVOCACY * disability (learning),
,,,ADVOCACY * disability (mental health),
,,,ADVOCACY * fetal alcohol and drug effects,
,,,ADVOCACY * schizophrenia,
FT-1000.9000,Veteran Benefits Assistance,"Programs that provide assistance for veterans who are having difficulty understanding and/or obtaining the full benefits and services to which they are entitled by law based on service to their country. The programs may help veterans understand the eligibility criteria for benefits, the benefits provided by the program, the payment process and the rights of beneficiaries; provide consultation and advice; help them complete benefits application forms; negotiate on their behalf with Veteran Affairs Canada staff; and/or represent them in administrative processes or judicial litigation. Included are veteran rights organizations that offer a range of advocacy services as well as legal aid programs that offer more formalized legal assistance.",CASE MANAGEMENT * Veterans,
,,,FINANCIAL ASSISTANCE * Veterans,
,,,INFORMATION AND REFERRAL * Veterans,
FT-1000.9700,Workers Compensation Benefits Assistance,"Programs that provide assistance for people who are having difficulty understanding and/or obtaining the full benefits to which they are entitled by law under provincial Workers Compensation statutes. The programs may help people understand the eligibility criteria for Workers Compensation benefits, the benefits provided by the program, and the rights of beneficiaries; provide consultation and advice; help them complete Workers Compensation application forms; negotiate on their behalf with Workers Compensation benefits staff; and/or represent them in administrative hearings or judicial litigation. Included are organizations that offer a range of advocacy services as well as legal aid programs which offer more formalized legal assistance. Workers Compensation is a disability insurance program mandated by the province and funded by employer contributions which provides compensation to covered employees for loss of their earnings as a result of an accidental injury or occupational disease sustained during employment, or which compensates dependents in case of a work-related death.",ADVOCACY * complaints * financial assistance * injury * Workers,
,,,ADVOCACY * compensation * complaints * injury * Workers,
FT-1010,Citizenship/Immigration/Refugee Services,"Programs that administer the laws in Canada which govern the conditions under which immigrants, refugees and visitors can legally enter and/or remain in the country or become citizens; and/or which provide assistance for people who need legal advice about how to proceed. Included are organizations that review and make administrative decisions regarding immigration, refugee and citizenship applications as well as those that help people complete and file application forms and/or appeal decisions.",ADMINISTRATION * citizenship,
,,,CITIZENSHIP,
,,,IMMIGRATION,
,,,IMMIGRATION * Immigrants/Ethnocultural Groups,
FT-3000.1700,Divorce Assistance,"Programs that provide assistance for people who are initiating or responding to a suit for an annulment of their marriage, which establishes that a marital status never existed; a legal separation, which suspends the marriage so far as concerns the cohabitation of the two parties; or a divorce, which totally dissolves the marriage relationship. These programs may also discuss and represent the individual's interests regarding distribution of property assets and parenting issues regarding any children.",FAMILY JUSTICE CENTRES,
,,,INFORMATION AND REFERRAL * divorce/separation * legal issues,
FT-3200,General Legal Aid,"Programs that provide legal counselling and/or representation for low-income individuals who need assistance in routine legal matters, usually in the area of bankruptcy, housing, public benefits, family law, elder law or immigration/naturalization.",LEGAL AID,
,,,LEGAL SERVICES,
FT-4200.4400,Labour Arbitration/Mediation,"Programs that provide a third, impartial person who is selected by the parties to a labour dispute or appointed by an outside body to facilitate discussion between the two parties as a means of helping them reach their own settlement decision (mediation), or to preside over a hearing in which both parties present their case and issue a decision which both parties have agreed in advance to accept as final (arbitration).",MEDIATION * labour relations * Employers * Workers,
FT-4500,Landlord/Tenant Assistance,"Programs that provide assistance, information and support for tenants and/or landlords who are involved in rental housing disputes; or which administer provincial laws or local ordinances which govern rent control and other aspects of tenant/landlord relations.",ADVOCACY * housing * Landladies/lords,
,,,ADVOCACY * housing * rights * Tenants,
,,,ADVOCACY * housing * Tenants,
,,,ARBITRATION * housing * rights * Landladies/lords * Tenants,
,,,INFORMATION AND REFERRAL * housing * Landladies/lords,
,,,INFORMATION AND REFERRAL * housing * legal issues * Tenants,
,,,INFORMATION AND REFERRAL * housing * rights * Tenants,
FT-6900.2500-150,Child Guardianship Assistance,"Programs that provide assistance for people who are in favour of or want to oppose the appointment of a guardian to care for and/or manage the affairs of a child or adolescent during minority. The court may appoint a guardian of the person in situations where there is no parent to meet the child's needs due to death, incapacity, abandonment, military service or other reasons; and/or a guardian of the child's estate. In the latter situation, the guardian is given responsibility for managing the child's funds, collecting and making an inventory of the child's assets, keeping accurate financial records, and regularly filing financial accountings with the court.",GUARDIANSHIP,
FT-8000,School System Advocacy,"Programs that assist families in their interactions with the school system which may include help with school registration, enrollment of children in special programs, intervention on behalf of students facing disciplinary action or expulsion and other activities which facilitate communication between families and school staff.",ADVOCACY *Students,2015 Mar 17: SL added this term and applied to records as appropriate.
HD-0500,Alternative Education,"Educational programs at all levels within or outside the formal education system that provide innovative and flexible instruction, curriculums, grading systems, learning environments or degree requirements, a return to traditional educational values, or other alternatives to the ordinary system of instruction.",EDUCATION (alternative),
HD-1200,Boards of Education,Local agencies or boards that are organized for the purpose of governance and management of schools within a jurisdiction. Boards of education generally share power with a larger institution such as the government's department/ministry of education.,EDUCATION (school boards),
HD-1800.6500,Preschools,"Programs that provide educational experiences and activities for children who are younger than compulsory school age, supplement parental care and home play and stimulate intellectual growth and motor skills development. Activities generally include preacademic skill development such as shape, colour and number recognition; active outdoor play; observation of nature and pets; dancing and rhythms; block building; playhouse activities; games; simple excursions outside the school; stories and picture books. Children are also given a nutritious snack and/or meal and a period for adequate rest, and are taught basic cleanliness and good health habits.",PRESCHOOLS,
HD-6000,Postsecondary Institutions,"Programs that provide opportunities for individuals who are beyond the compulsory school attendance age to acquire a higher level of knowledge, skills and specialization in their chosen area of interest within the framework of phased learning in a formal school setting.",EDUCATION (post-secondary),
HD-6500,Private Schools,"Educational institutions for students in grades K-12 (or 1-12) that are established, controlled and financially supported by private organizations.",EDUCATION (independent schools),
HD-8000,Public Schools,"Educational institutions for students in grades K-12 (or 1-12) supported by public funds that provide a formal education through a graded system of instruction that focuses initially on basic skills such as reading, writing, and mathematics and later on a broader curriculum of study which terminates in preparation for specific employment opportunities or undergraduate study at the postsecondary level. Some provinces retain two systems of public education, generally known as ""public"" and ""separate"". Depending on the history/demographics of a particular area, the ""separate"" system may be either Catholic or Protestant in its traditions. However, all funded schools follow standard curriculums along with the specific terms and conditions of all provincial educational legislation and directives.",EDUCATION (k-12),
HH-0500.0500,Adult Basic Education,"Programs, usually offered by community adult schools or as evening classes at local high schools, that provide instruction in fundamental learning skills for adults who have never attended school or have interrupted formal schooling and need to raise their level of education to increase their self-confidence and/or prepare for an occupation.  Emphasis is placed on basic reading, language and mathematics to strengthen functional skills in communication, computation and personal-social interaction.",EDUCATION (upgrading),
HH-0500.1600,Continuing Education,"Programs, usually offered as adjuncts to community college, college or university programs, that provide credit-granting and/or noncredit courses for adults who are seeking specific learning experiences on a part-time or short-term basis for personal, academic or occupational development.",EDUCATION (continuing),
HH-0500.8000-150,English as a Second Language,"Programs that offer opportunities for non-English-speaking and limited-English-speaking adults to learn listening, speaking, reading and writing skills with an emphasis on developing the level of communication competence that is essential for adults who are living in a setting in which English is the primary language. Also included are programs that provide English language instruction for younger people.",TRAINING * language (english) * Immigrants/Ethnocultural Groups,
HH-3300.1800,Distance Education,Programs that provide opportunities for students to pursue a course of independent study utilizing communication methods which do not require them to be in a classroom and have face-to-face contact with their instructors.,EDUCATION (distance),
HL-8000,Student Financial Aid,"Programs that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school. Most students receive a financial aid package which includes aid from a combination of sources that may include loans, scholarships, grants, work-study awards, and fellowships or assistantships for graduate students. Also included are programs that help current and former students make arrangements to defer, repay or obtain forgiveness for student loans.",FINANCIAL ASSISTANCE * education (post-secondary),
HL-8700,Tutoring Services,Programs that provide supplemental instruction for students who are having difficulty with their coursework or who want to get more out of their regular educational program.,TUTORING,
JR-1900,Fire Services,"Programs that are responsible for preventing, investigating, controlling and extinguishing fires. Activities include fire safety education, firefighting, investigating the causes of suspicious fires, maintaining equipment and trained firefighters necessary for a quick and efficient response to fires when they occur, and enforcing fire codes which protect lives and property from fires and explosions arising from the storage, handling and use of hazardous substances, materials and devices, or from conditions hazardous to life and property in the use or occupancy of buildings or other premises.",FIREFIGHTING,
JR-6000,911 Services,"Programs that operate a telephone response service staffed by trained personnel who assess requests for emergency assistance and dispatch the appropriate emergency response agency (law enforcement, fire, paramedics/EMTs or ambulance services).",INFORMATION AND REFERRAL * emergency,
JR-8200.2500,General Safety Education,Programs that provide information about a wide variety of accident prevention and other safety topics rather than specializing in a particular safety-related area.,EDUCATION (public awareness) * safety,
JR-8200.3400,Internet Safety Education,"Programs that are designed to make the public aware of the steps that people, especially parents, can take to assure the safety and well-being of their children when they use the Internet. The programs generally provide information about the educational benefits of the Internet; discuss child friendly search engines and service providers; introduce participants to filtering software and other technological solutions that can supplement adult supervision; and warn parents about violent or pornographic websites, unsolicited e-mail, and the dangers of pedophiles, abusers, and other menacing individuals lurking in Internet chat rooms. All Internet safety programs stress the cardinal rule that children/adolescents should never give out personal information, send their picture to people they meet on the Internet or agree to meet strangers in person, however benign they appear to be.",EDUCATION (public awareness) * internet * safety,
LD,Emergency Medical Care,"Programs that provide immediate short-term assistance for accident victims and acutely ill or injured individuals who are in pain, or whose health or lives may be in jeopardy.",HEALTH CARE (medical) * emergency,
LE,General Medical Care,"Routine health care provided by internists, pediatricians, family medicine specialists, gynecologists, obstetricians, nurse practitioners, midwives, physicians' assistants or other health care providers who serve as the first point of contact with the health care system. Services focus on the prevention and early detection of health problems through regular physical examinations, blood pressure checks, mammograms and other similar procedures as well as therapeutic services for people who do not require specialty care.",HEALTH CARE (medical),
LF-4900.2150,Hearing Screening,Programs that offer hearing threshold tests for the purpose of identifying individuals whose ability to perceive sound falls outside the normal range. People who fail the screening test need an in-depth evaluation by an audiologist.,ASSESSMENT * deaf and hard-of-hearing,
,,,ASSESSMENT * hearing,
LF-4900.8000,Sexually Transmitted Disease Screening,"Programs that identify individuals who have contracted gonorrhea, syphilis, genital herpes or other diseases that are spread by sexual contact and diagnose their conditions. The procedure includes visual examinations, blood tests and analyses of discharge or samples taken from lesions.",FREE MEDICAL CLINICS * sexually transmitted infections,
LF-7000.1700,Developmental Assessment,"Programs that provide a comprehensive, structured evaluation of a child’s cognitive/intellectual functioning, language and communication skills, independent living skills, social and emotional development and perceptual/motor functioning in order to identify individuals who show developmental delays, determine the nature and extent of the problem and recommend a course of treatment and care. Developmental assessments are generally offered by a developmental assessment specialist, or a team of professionals that can include a pediatrician, language specialist, audiologist, occupational therapist, child psychologist and child psychiatrist, among others. They involve age-adjusted questions regarding a child's growth, physical movements, behaviour, play, and interactions with family members and the rest of the world as well as a series of tests that may include a physical exam, hearing and eye screenings, play observation, and standardized tests that present the child with specific tasks to determine areas of strength and weakness. Developmental assessments are occasionally done for adults. They can also be used to identify individuals who have developmental disabilities such as intellectual disabilities, epilepsy, cerebral palsy, autism and neurological impairments, in order to develop a plan for remediation and care.",ASSESSMENT * autism,
,,,ASSESSMENT * developmental delay,
,,,ASSESSMENT * fetal alcohol and drug effects,
LH-0600,Assistive Technology Equipment,"Programs that pay for or provide equipment, appliances and assistive aids that enable people, including those who have physical or sensory limitations, to increase their mobility and/or ability to communicate and live more comfortably.",EQUIPMENT * …,2015 Mar 6: SL added this term and applied to records as appropriate.
LH-0650.0325,Assistive Technology Equipment Repair,"Programs that provide maintenance and repair services for cognitive/learning aids, control and signaling aids, daily living aids, hearing augmentation aids, mobility aids, prosthetic/orthotic/seating devices, recreational aids, speech aids, visual/reading aids or other assistive aids.",REPAIRS/MAINTENANCE * equipment,
LH-2700.9500,Wellness Programs,"Programs that offer individual and/or group sessions which assist participants to understand how their lifestyle impacts their physical and mental health and to develop personal practices that enhance their total well-being. Wellness programs are holistic and combine a variety of components which may include a general physical examination that is tailored to the individual's needs; an evaluation of the person's pattern of exercise, eating habits, sources of stress and other lifestyle elements that are potential risk factors; and the development and implementation of an individualized plan for prevention management and early intervention to optimize health and performance which may include physical fitness sessions, nutrition counselling, stress reduction techniques, biofeedback, practice in assuming responsibility for one's choices, and other specific measures for avoiding physical and mental health problems.",EDUCATION (public awareness) * health promotion,
LH-5000.6100,Needle Exchange/Distribution Programs,"Programs that help prevent the transmission of HIV/AIDS and other blood borne infectious diseases by providing new, sterile syringes and other sterile injection supplies to needle users in exchange for used ones; or which sell new hypodermic needles and syringes to high risk individuals who have a prescription or, in jurisdictions where it is permitted, without a prescription.",DISPOSAL * needles,
,,,DISPOSAL * PICK-UP * needles,
,,,NEEDLES,
LH-5100,Medical Expense Assistance,"Programs that pay the health care expenses of people who are unable to obtain necessary care without assistance. Medical expense assistance programs may have age, income, disability, need or other eligibility requirements.",FINANCIAL ASSISTANCE * health care (medical),
LH-6300.9500,Wish Foundations,"Programs that provide support for children or adults who are terminally or gravely ill by granting a wish which might be a trip to Disneyland, an opportunity to meet a film star or sports personality, a reunion with family members or other similar desire. Also included are programs that fulfill the dreams of other populations including children who are chronically ill, seriously ill, physically challenged or abused; and those that arrange trips or other experiences for groups of people as well as for individuals.",WISH-GRANTING * life-threatening illness,
LJ-2000.0100,Abortion Services,Programs that provide access to pregnancy termination services for individuals who want to avoid an unplanned or unwanted birth.,ABORTION,
LJ-2000.6500,Pregnancy Counselling,"Programs that help people who are experiencing a crisis pregnancy resolve any social or personal problems that have arisen as a result of their pregnancy or the prospect of parenthood, and help them understand their conflicting emotions, put their feelings in perspective, evaluate their options and make a decision that right is for them.",COUNSELLING * abortion * pro-choice,
,,,COUNSELLING * abortion * pro-life,
LJ-5000.1000,Breastfeeding Support Programs,Programs that provide information and instruction concerning appropriate techniques for nursing an infant for expectant parents or new mothers.,EDUCATION (public awareness) * breastfeeding,
,,,TRAINING * breastfeeding * Women,
,,,HEALTH CARE (medical) * breastfeeding,
,,,INFORMATION AND REFERRAL * breastfeeding,
LL-3000,Hospitals,"Medical institutions that provide diagnostic and treatment services for people whose illnesses or injuries require that they occupy a bed for at least one night. Hospitals can be distinguished by the level of care they offer (general acute, subacute, extended acute care) and the medical conditions in which they may specialize (specialty hospitals).",HOSPITALS,
LN-0400,Indigenous Health Facilities,"Outpatient health centres and nursing stations, often in remote or isolated areas, that provide primary health care for residents of First Nations and Inuit communities in Canada. Staff are employed either by Health Canada or the local Band Council.",HEALTH CARE (complementary) * Aboriginal,
,,,HEALTH CARE (medical) * Aboriginal,
LN-1500,Community Health Centres,"Community-based outpatient clinics that provide comprehensive primary health care by a team of health professionals with services that include physical examinations, immunizations, family planning, nutrition assistance, health education and promotion, rehabilitation, and the diagnosis and treatment of common ailments reflecting the needs of the targeted community or neighbourhood. Many health centres provide accessible care in northern and rural communities, in communities where many people have a high risk of ill health or to individuals and families with significant access issues, such as such as members of ethnocultural communities, refugees or people who are homeless.",FREE MEDICAL CLINICS,
,,,HEALTH UNITS,
LN-5000,Mobile Health Care,"Programs that use specially equipped mobile vehicles to deliver basic health care services to vulnerable and/or remote populations that are unable to access a community health care facility. The mobile clinics make scheduled stops in different neighbourhoods and offer a wide variety of services which may include general physical examinations, pediatric services, health screening, vision screening, flu shots, childhood immunizations, laboratory services, STD screening and treatment, family planning services, pregnancy testing and treatment for minor illnesses. Included are street medicine programs that use outreach workers to seek out and provide primary health care services for unsheltered homeless people living on the streets, under bridges, in abandoned buildings or wherever else they stay.",HEALTH CARE (medical) * OUTREACH,2016 May 11: added to bc211 allowed term list and applied to records
LR-0450,Autism Therapy,"Programs that offer any of a variety of therapeutic interventions, which may be used singly or in combination, to address the range of social, language, sensory and behavioural difficulties experienced by children and adults with autism and related disorders. Because of the spectrum nature of autism and the many behaviour combinations that can occur, treatment approaches must be tailored to meet the individual needs of each person. Included are behavioural and communication development approaches such as Applied Behavioural Analysis, TEACCH (Treatment and Education of Autistic and Related Communication Handicapped Children), PECS (Picture Exchange Communication Systems), Pivotal Response Treatment (PRT), Floor Time, Social Stories and sensory integration; biomedical and dietary treatments including psychiatric medications, vitamins and minerals (such as Vitamin B6, magnesium and essential fatty acids), treatment using the hormone secretin and special diets; and various complementary therapies such as music, art or equestrian therapy which may be used on an individual basis or integrated into an educational program.",CASE MANAGEMENT * autism,
,,,COMMUNITY LIVING SUPPORT * autism,
LR-1700,Early Intervention for Children With Disabilities/Delays,"Programs that identify infants, toddlers and in some cases, preschoolers who show evidence of or are at risk for lags in physical development, cognitive development, language and speech development, psychosocial development or self-help skills, and provide or coordinate the delivery of an enrichment program in order to minimize the potential for a developmental delay and to meet their current developmental needs. The program may include early identification activities (child find); a developmental evaluation; a review of family concerns, priorities and resources; meetings with the family to develop an individualized family service plan; service coordination to ensure that the individual and his or her family receive needed services which may include but are not limited to physical therapy, occupational therapy, audiology, health/medical services, nursing services, nutrition services, psychological services including specialized play groups or therapy sessions, counselling, speech and language assistance, special instructional services, transportation, and parenting skills development; and ongoing evaluation of the child's progress and his or her changing enrichment needs. Included are ""birth to three"" programs and federal, provincial or local programs that address the needs of slightly older children or children not otherwise eligible for ""birth to three"" programs.",INTERVENTION * developmental delay * Children,
,,,INTERVENTION * developmental delay * Babies,
,,,INFANT DEVELOPMENT PROGRAMS,
LR-3100,Home/Community Based Developmental Disabilities Programs,"Programs for individuals with developmental disabilities that focus on enabling the individual to attain his or her maximum functional level and which may serve to reinforce skills or lessons taught in school, therapy or other settings. Services may be provided in the individual's home or outside the home in community-based settings.",COMMUNITY LIVING SUPPORT * HOUSING * disability (intellectual),
,,,COMMUNITY LIVING SUPPORT * HOUSING * autism,
,,,COMMUNITY LIVING SUPPORT * HOUSING * fetal alcohol and drug effects,
,,,HOME SUPPORT * autism,
,,,HOME SUPPORT * disability (intellectual),
,,,HOME SUPPORT * fetal alcohol and drug effects,
LR-3200,Independent Living Skills Instruction,"Programs that assist people who have disabilities to learn the basic skills of daily living through individual and group counselling and instruction, experience and practice in coping with real or simulated life situational demands; or through the use of assistive devices, special equipment and specialized assistants. Services include but are not limited to training in the ability to travel about the community alone; to live independently in a private residence; to maintain health through self-care and use of medical services; to live within personal income; to maintain acceptable grooming and appearance; to deal with legal, family or social problems; and to cope with other requirements for successful independent living.",TRAINING * disability * life skills,
,,,TRAINING * brain injury * life skills,
,,,TRAINING * autism * life skills,
,,,TRAINING * disability (intellectual) * life skills,
,,,TRAINING * disability (learning) * life skills,
,,,TRAINING * disability (mental health) * life skills,
,,,TRAINING * fetal alcohol and drug effects * life skills,
LR-7950,Service Animals,Programs that provide and train recipients in the use of animals who have been taught to help individuals who have disabilities increase their mobility and independence and/or maximize their ability to communicate effectively.,ANIMAL AIDES,
LR-8000.8000,Speech and Language Pathology,"Programs that provide comprehensive diagnostic and treatment services for individuals who have language disorders or speech impairments including people who have neurological disorders; articulation, fluency or voice disorders; delayed language; cleft palate; tongue thrust problems; stuttering; or aphasia. ",SPEECH THERAPY * speech and language disorders,
LT-1750.0500,AIDS/HIV Clinics,Programs that provide comprehensive medical services on an inpatient or outpatient basis for people who have symptomatic or asymptomatic HIV infections or full-blown AIDS.,FREE MEDICAL CLINICS * hiv/aids,
,,,HEALTH CARE (medical) * hiv/aids,
LT-1750.8000,Sexually Transmitted Disease Treatment,"Programs that provide comprehensive preventive, diagnostic and treatment services for people who have contracted gonorrhea, syphilis, genital herpes or another disease that is transmitted by sexual contact. Treatment usually involves an investigation of recent contacts of people who have been infected to stop the spread of the disease.",FREE MEDICAL CLINICS * sexually transmitted infections,
,,,HEALTH CARE (medical) * sexually transmitted infections,
LT-1750.9000,Tuberculosis Clinics,Programs that provide comprehensive treatment services for people who have tuberculosis.,HEALTH CARE (medical) * tuberculosis,
LT-2800,Home Health Care,"Programs that make necessary medical services available in the homes of people who are aged, ill or convalescing.",NURSING CARE,
,,,OCCUPATIONAL THERAPY,
,,,PHYSIOTHERAPY,
LT-6650,Palliative Care,"Programs that provide for the comprehensive management of the physical, psychological, social, spiritual and existential needs of patients with the objective of helping them achieve the best possible quality of life through relief of suffering, control of symptoms and restoration of functional capacity while remaining sensitive to personal, cultural and religious values, beliefs and practices. The focus of palliative care is on people with incurable, progressive illnesses who are in the early stages of their illness. Palliative care may be provided in a wide variety of health care settings including hospitals, nursing facilities, hospice facilities and the person's own home; and may be coordinated with other services including curative therapies.",PALLIATIVE CARE,
LV-1600.1900,Emergency Dental Care,"Programs that provide immediate, short-term assistance for people who have lost a filling, broken or lost a tooth or dental prosthesis or who have other dental emergencies and are unable to wait for treatment on an appointment basis.",HEALTH CARE (medical) * dental health * emergency,
LV-1600.2400,General Dentistry,"Programs that provide primary oral health care for patients of all ages. General dentists are responsible for the diagnosis, treatment, management and overall coordination of specialized services related to the patient's oral health needs. Services generally include an oral health history, preventive dental cleanings, dental radiographs, oral cancer screening, an examination of the teeth to detect tooth decay or other problems, a periodontal examination to detect gum disease, dental restorations (e.g., fillings, crowns and implants), cosmetic dentistry, and other procedures such as fluoride treatment.",HEALTH CARE (medical) * dental health,
LV-1600.6400,Pediatric Dentistry,"Programs that specialize in providing oral health care for infants, children and adolescents.",HEALTH CARE (medical) * dental health * Babies,
,,,HEALTH CARE (medical) * dental health * Children,
,,,HEALTH CARE (medical) * dental health * Youth,
LV-3300.2900,Geriatric Medicine,"Programs that are staffed by specialists who provide comprehensive preventive, diagnostic and treatment services for elderly individuals who have diseases or conditions that are associated with the aging process. Special assistance may include recognizing altered presentations of illnesses, dealing with multisystem organ involvement, handling special drug interactions, utilizing resources such as nursing homes and community social services, and assisting with ethical issues in the care of people who are elderly.",HEALTH CARE (medical) * Seniors,
LV-6000.2400,General Obstetrics,"Programs that are staffed by specialists who provide care for women who have routine pregnancies. Obstetricians are responsible for managing a woman's pregnancy, delivering her child and providing medical care, as needed, during the period of time it takes for her uterus to return to its normal size (generally 42 days).",HEALTH CARE (medical) * pregnancy * Women,
LV-6000.2550,Gynecology Services,"Programs usually available in community-based health clinics and family planning centres that provide primary and preventive care, family planning services, diagnostic imaging, management of menopause, medical and surgical treatment of women's disorders and/or diagnosis and treatment of cancers affecting the female genital system. Specific routine services generally include pap smears, pelvic examinations, breast exams, urinalysis, pregnancy testing, laboratory tests including testing for sexually transmitted diseases, contraception, morning after contraception and hormone replacement therapy.",HEALTH CARE (medical) * reproductive health * Women,
LV-6800,Pediatrics,"Programs that are staffed by specialists who are concerned with the physical, emotional and social health of infants, children and adolescents from birth to young adulthood. Pediatricians have advanced training in the biological, social and environmental factors that have an influence on a developing child and have expertise in diagnosing and treating the acute and chronic diseases that are common to individuals in this age range.",HEALTH CARE (medical) * Babies,
,,,HEALTH CARE (medical) * Children,
,,,HEALTH CARE (medical) * Youth,
ND-2000.1500,Career Development,Programs that help people make appropriate decisions regarding the sequence of occupational roles or work experiences through which they will move during their working lives.,COUNSELLING * vocation/career,
ND-2000.6600,Prevocational Training,"Programs that provide individual and group instruction and/or counselling for individuals with disabilities (including mental health issues) who need to develop physical and emotional tolerance for work demands and pressures; acquire personal-social behaviours that will allow them to get along with employers and co-workers on the job; and develop the basic manual, academic and communications skills that are needed to acquire basic job skills.",EMPLOYMENT PREPARATION,
ND-3500,Job Finding Assistance,"Programs that help people identify and secure paid employment opportunities that match their aptitude, qualifications, experience and interests.",EMPLOYMENT SEARCH ASSISTANCE,
ND-9000,Vocational Rehabilitation,"Programs that enable individuals with disabilities, people who abuse drugs or alcohol, or people who have emotional problems to obtain the training and employment experiences they need to achieve economic self-sufficiency. Services may include vocational evaluation, work adjustment, work experience, training in marketable skills and placement in competitive employment or a sheltered work environment.","EMPLOYMENT * disability, addiction, abuse, etc",2015 Mar 6: SL added this term and applied to records as appropriate.
NL-1000.6350,Provincial/Territorial Social Assistance Programs,"Financial assistance programs administered by provinces/territories that serve as sources of last resort for families and individuals who, for various reasons, including disability, illness, low income or unemployment, cannot meet basic living costs and have no other sources of income. These programs are known by a variety of different names and have differing eligibility criteria. All include a case plan development component that aims to move employable recipients towards self-sufficiency through participation in job search activities and approved training programs. Applications are generally income and asset-tested, and applicants are expected to make use of all available resources before they can qualify. Additional emergency or hardship assistance may be available in some situations such as covering the cost of a burial for an immediate family member.",FINANCIAL ASSISTANCE,
